Attendance,StudyHours,Marks,ParentEdu,Absences,FamilyIncome,PreviousScore,TestPrep,FinalScore,Pass
85,3,78,Bachelor,2,40000,72,yes,81,1
60,1,40,HighSchool,10,18000,39,no,42,0
92,4,88,University,0,55000,85,yes,90,1
55,2,38,NoEdu,5,12000,35,no,36,0
70,3,65,Bachelor,1,30000,58,yes,70,1
45,4,65,BSc,4,28000,60,yes,62,1
95,1,90,Uni,0,60000,88,no,93,1
80,0,30,School,15,15000,29,no,28,0
?,3,55,Bachelor,3,35000,50,yes,57,1
90,?,82,University,1,50000,77,yes,85,1
78,2,?,School,7,20000,60,no,58,0
65,1,45,BSc,4,22000,48,no,47,0
100,0,15,HighSchool,0,10000,20,no,18,0
32,8,28,NoEdu,12,9000,25,no,25,0
75,5,72,Bachelor,2,40000,70,yes,74,1
68,?,?,BSc,3,26000,50,no,52,0
88,3,80,University,0,45000,75,yes,83,1
49,2,42,School,8,15000,40,no,41,0
82,1,55,Uni,2,35000,53,no,57,1
60,4,60,Bachelor,1,32000,59,yes,61,1
?,4,?,School,6,22000,39,no,40,0
72,2,58,BSc,4,27000,55,no,60,1
50,1,35,NoEdu,9,11000,32,no,33,0
67,3,62,HighSchool,2,25000,60,yes,65,1
74,?,70,Bachelor,0,30000,67,no,72,1
91,2,90,University,1,65000,88,yes,92,1
39,6,45,School,10,15000,40,no,42,0
83,3,77,BSc,2,37000,75,no,80,1
77,2,71,Bachelor,1,33000,69,yes,73,1
48,4,48,HighSchool,7,20000,46,no,49,0
59,3,52,Uni,3,26000,50,yes,54,1
85,1,60,Bachelor,2,40000,58,no,62,1
62,2,51,School,4,18000,48,no,50,0
71,5,69,BSc,1,35000,67,yes,71,1
78,2,64,University,3,42000,62,no,65,1
56,1,37,NoEdu,6,13000,35,no,36,0
64,3,60,School,5,21000,58,yes,61,1
93,2,91,Bachelor,0,58000,89,yes,94,1
41,7,33,NoEdu,11,12000,30,no,31,0
97,1,95,University,0,70000,93,yes,97,1
58,2,46,HighSchool,4,19000,44,no,47,0
76,3,72,BSc,2,34000,70,no,74,1
82,2,68,Bachelor,1,36000,66,yes,70,1
68,1,50,Uni,3,25000,48,no,52,1
63,2,55,School,6,20000,53,no,56,1
94,0,98,University,0,75000,95,no,99,1
47,3,42,NoEdu,8,15000,40,no,41,0
73,4,65,Bachelor,3,31000,63,yes,67,1
66,2,55,HighSchool,5,22000,52,no,54,1
55,4,46,School,9,17000,44,no,47,0
78,1,60,BSc,2,33000,58,yes,62,1
83,3,75,University,1,45000,72,no,78,1
61,1,40,Bachelor,7,19000,39,no,42,0
86,2,70,School,4,26000,68,yes,72,1
79,3,66,BSc,3,30000,64,no,68,1
53,2,38,NoEdu,8,14000,36,no,37,0
81,1,57,Bachelor,2,31000,55,no,59,1
90,3,85,University,1,55000,82,yes,88,1
62,?,53,School,6,22000,51,no,55,1
47,6,38,NoEdu,12,13000,35,no,36,0
87,1,71,BSc,1,36000,70,yes,73,1
52,4,44,HighSchool,9,18000,42,no,45,0
98,0,99,University,0,80000,95,no,100,1
